word,level,variant
a.m.,base,
a,base,
an,base,
abandon,elective,
ability,base,
able,base,
abnormal,elective,
aboard,elective,
about,base,
above,base,
abroad,base,
absence,elective,
absent,base,
absolutely,required,
absorb,elective,
abstract,elective,
abuse,elective,
academic,elective,
accent,elective,
accept,base,
access,elective,
accident,base,
accommodation,elective,
accompany,elective,
according,base,
(to),base,
account,base,
accurate,elective,
accuse,elective,
ache,base,
achieve,base,
achievement,required,
acid,elective,
acknowledge,elective,
acquire,required,
across,base,
act,base,
action,base,
active,base,
activity,base,
actor,base,
actress,base,
actually,base,
ad,base,
(=advertisement),base,
adapt,required,
adaptation,elective,
add,base,
addict,required,
addition,required,
address,base,
adjust,elective,
administration,elective,
admire,base,
admit,required,
adopt,elective,
adorable,elective,
adult,base,
advance,required,
advantage,base,
adventure,required,
advertise,elective,
advice,base,
advise,base,
advocate,elective,
affair,required,
affect,elective,
afford,base,
afraid,base,
Africa,required,
after,base,
afternoon,base,
afterward,elective,
again,base,
against,base,
age,base,
agency,elective,
agenda,elective,
ago,base,
agree,base,
agreement,required,
agriculture,required,
ahead,base,
AI,base,
(=artificial,base,
intelligence),base,
aid,base,
aim,base,
air,base,
airline,elective,
airport,base,
alarm,base,
alcohol,elective,
alert,elective,
alive,base,
all,base,
allow,base,
almost,base,
alone,base,
along,base,
alongside,elective,
aloud,base,
already,base,
also,base,
alternative,elective,
although,base,
altogether,elective,
always,base,
amateur,elective,
amazing,base,
ambition,elective,
ambitious,elective,
ambulance,elective,
America,required,
among,base,
amount,required,
amuse,elective,
analyse,base,
(analyze),elective,
ancestor,elective,
ancient,base,
and,base,
anger,elective,
angle,elective,
angry,base,
animal,base,
ankle,elective,
anniversary,required,
announce,required,
annoy,elective,
annual,required,
another,base,
answer,base,
ant,base,
Antarctica,elective,
anticipate,elective,
antique,elective,
anxiety,elective,
anxious,required,
any,base,
anybody,base,
anyone,base,
anyhow,elective,
anything,base,
anyway,base,
anywhere,base,
apart,elective,
apartment,base,
apologise,base,
(apologize),required,
app,base,
(=application),base,
apparently,elective,
appeal,elective,
appear,base,
appetite,elective,
applaud,elective,
apple,base,
applicant,elective,
application,required,
apply,required,
appointment,elective,
appreciate,elective,
approach,required,
appropriate,elective,
approve,elective,
arch,elective,
architect,elective,
Arctic,elective,
area,base,
argue,base,
arise,elective,
arm,base,
army,base,
around,base,
arrangement,required,
arrest,elective,
arrive,base,
arrow,elective,
art,base,
article,base,
artificial,elective,
artist,base,
as,base,
ashamed,elective,
Asia,required,
aside,elective,
ask,base,
asleep,base,
aspect,required,
assess,elective,
assign,elective,
assistant,elective,
association,elective,
assume,required,
assumption,elective,
astonish,elective,
astronaut,base,
astronomer,elective,
at,base,
athlete,base,
Atlantic,required,
atmosphere,elective,
attach,required,
attack,base,
attain,elective,
attempt,required,
attend,base,
attention,base,
attitude,required,
attract,required,
audience,required,
aunt,base,
author,required,
authority,required,
automatic,elective,
autonomous,elective,
autumn,base,
available,elective,
average,base,
avoid,base,
awake,base,
award,base,
aware,base,
away,base,
awesome,elective,
awful,base,
awkward,required,
baby,base,
back,base,
background,base,
backward,elective,
bacon,elective,
bacteria,required,
bad,base,
badminton,base,
bag,base,
bakery,elective,
balance,base,
ball,base,
ballet,required,
balloon,base,
bamboo,base,
ban,elective,
banana,base,
band,base,
bank,base,
bar,required,
barbecue,elective,
barely,elective,
